,Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Notes,Date,Time
0,,7328,,2443,5.934638317426046:00,,24/05/2022,06:49 AM
0,,7328,,2443,5.920493233203888:00,,24/05/2022,06:55 AM
0,,7328,,2443,5.921860738595327:00,,24/05/2022,07:01 AM
0,,7328,,2443,5.935278109709421:00,,24/05/2022,07:07 AM
0,,7328,,2443,5.937399431069692:00,,24/05/2022,07:13 AM
0,,7328,,2443,5.928731215000153:00,,24/05/2022,07:19 AM
0,,7328,,2443,5.925120238463084:00,,24/05/2022,07:25 AM
0,,7328,,2443,5.934635293483734:00,,24/05/2022,07:31 AM
0,,7328,,2443,5.946944093704223:00,,24/05/2022,07:37 AM
0,,7328,,2443,5.919477740923564:00,,24/05/2022,07:43 AM
0,,7328,,2443,5.905759040514628:00,,24/05/2022,07:49 AM
0,,7328,,2443,5.912520082791646:00,,24/05/2022,07:55 AM
0,,7328,,2443,5.912216166655223:00,,24/05/2022,08:01 AM
0,,7328,,2443,5.907916124661764:00,,24/05/2022,08:06 AM
0,,7328,,2443,5.913483452796936:00,,24/05/2022,08:12 AM
0,,7328,,2443,5.91663806438446:00,,24/05/2022,08:18 AM
0,,7328,,2443,5.916555368900299:00,,24/05/2022,08:24 AM
0,,7328,,2443,5.906667721271515:00,,24/05/2022,08:30 AM
0,,7328,,2443,5.916178659598033:00,,24/05/2022,08:36 AM
0,,7328,,2443,5.915976758797964:00,,24/05/2022,08:42 AM
0,,7328,,2443,5.90001475016276:00,,24/05/2022,08:48 AM
0,,7328,,2443,5.900352644920349:00,,24/05/2022,08:54 AM
0,,7328,,2443,5.883917395273844:00,,24/05/2022,09:00 AM
0,,7328,,2443,5.901666267712911:00,,24/05/2022,09:06 AM
0,,7328,,2443,5.888551394144694:00,,24/05/2022,09:11 AM
0,,7328,,2443,5.9058422446250916:00,,24/05/2022,09:17 AM
0,,7328,,2443,5.902510639031728:00,,24/05/2022,09:23 AM
0,,7328,,2443,5.908376518885294:00,,24/05/2022,09:29 AM
0,,7328,,2443,5.911909071604411:00,,24/05/2022,09:35 AM
0,,7328,,2443,5.88644506931305:00,,24/05/2022,09:41 AM
0,,7328,,2443,5.886312425136566:00,,24/05/2022,09:47 AM
0,,7328,,2443,5.89261302947998:00,,24/05/2022,09:53 AM
0,,7328,,2443,5.882180647055308:00,,24/05/2022,09:59 AM
0,,7328,,2443,5.875683625539144:00,,24/05/2022,10:04 AM
0,,7328,,2443,5.892386515935262:00,,24/05/2022,10:10 AM
0,,7328,,2443,5.895276109377543:00,,24/05/2022,10:16 AM
0,,7328,,2443,5.936341408888499:00,,24/05/2022,10:22 AM
0,,7328,,2443,5.602818111578624:00,,24/05/2022,10:28 AM
0,,7328,,2443,5.871025721232097:00,,24/05/2022,10:34 AM
0,,7328,,2443,5.883994046847025:00,,24/05/2022,10:40 AM
0,,7328,,2443,5.899317753314972:00,,24/05/2022,10:45 AM
0,,7328,,2443,5.964541975657145:00,,24/05/2022,10:51 AM
0,,7328,,2443,5.979538559913635:00,,24/05/2022,10:57 AM
0,,7328,,2443,5.958250963687897:00,,24/05/2022,11:03 AM
0,,7328,,2443,5.96798597574234:00,,24/05/2022,11:09 AM
0,,7328,,2443,5.961169381936391:00,,24/05/2022,11:15 AM
0,,7328,,2443,5.9662929972012835:00,,24/05/2022,11:21 AM
0,,7328,,2443,5.96820270617803:00,,24/05/2022,11:27 AM
0,,7328,,2443,5.960542074839274:00,,24/05/2022,11:33 AM
0,,7328,,2443,5.974678472677867:00,,24/05/2022,11:39 AM
0,,7328,,2443,5.954069439570109:00,,24/05/2022,11:45 AM
0,,7328,,2443,5.943964290618896:00,,24/05/2022,11:51 AM
0,,7328,,2443,5.962704654534658:00,,24/05/2022,11:57 AM
